reading frame: 23.864120 ms	encoding took: 5.397279 ms	streaming took: 0.085551 ms
reading frame: 30.329853 ms	encoding took: 8.147312 ms	streaming took: 0.121776 ms
reading frame: 23.738188 ms	encoding took: 5.259757 ms	streaming took: 0.079227 ms
reading frame: 30.522663 ms	encoding took: 8.266969 ms	streaming took: 0.124533 ms
reading frame: 23.759969 ms	encoding took: 4.895550 ms	streaming took: 0.078703 ms
reading frame: 30.880107 ms	encoding took: 5.331577 ms	streaming took: 0.093115 ms
reading frame: 26.665355 ms	encoding took: 5.184322 ms	streaming took: 0.103953 ms
reading frame: 30.715547 ms	encoding took: 5.322275 ms	streaming took: 0.102869 ms
reading frame: 26.565479 ms	encoding took: 5.246140 ms	streaming took: 0.108726 ms
reading frame: 30.438209 ms	encoding took: 5.429653 ms	streaming took: 0.082552 ms
reading frame: 26.551660 ms	encoding took: 4.798246 ms	streaming took: 0.096126 ms
reading frame: 31.050690 ms	encoding took: 5.236147 ms	streaming took: 0.090628 ms
reading frame: 26.628711 ms	encoding took: 5.497682 ms	streaming took: 0.081538 ms
reading frame: 26.459054 ms	encoding took: 5.256829 ms	streaming took: 0.103180 ms
reading frame: 30.368960 ms	encoding took: 5.404736 ms	streaming took: 0.081699 ms
reading frame: 26.644670 ms	encoding took: 5.431946 ms	streaming took: 0.106761 ms
reading frame: 30.429913 ms	encoding took: 6.998666 ms	streaming took: 0.089548 ms
reading frame: 24.759459 ms	encoding took: 5.543123 ms	streaming took: 0.082031 ms
reading frame: 30.235228 ms	encoding took: 5.439647 ms	streaming took: 0.086759 ms
reading frame: 26.580320 ms	encoding took: 5.125283 ms	streaming took: 0.086914 ms
reading frame: 30.714833 ms	encoding took: 5.085869 ms	streaming took: 0.087533 ms
reading frame: 26.749576 ms	encoding took: 5.461225 ms	streaming took: 0.096191 ms
reading frame: 30.326568 ms	encoding took: 5.040703 ms	streaming took: 0.086649 ms
reading frame: 26.975628 ms	encoding took: 5.138824 ms	streaming took: 0.086277 ms
reading frame: 30.537075 ms	encoding took: 5.026631 ms	streaming took: 0.081424 ms
reading frame: 27.130718 ms	encoding took: 5.023236 ms	streaming took: 0.091659 ms
reading frame: 30.686822 ms	encoding took: 5.015247 ms	streaming took: 0.115281 ms
reading frame: 26.725237 ms	encoding took: 5.256107 ms	streaming took: 0.104193 ms
reading frame: 30.581960 ms	encoding took: 5.285468 ms	streaming took: 0.110984 ms
reading frame: 26.535393 ms	encoding took: 5.218846 ms	streaming took: 0.122921 ms
reading frame: 30.682893 ms	encoding took: 5.570011 ms	streaming took: 0.095292 ms
reading frame: 26.277029 ms	encoding took: 5.347877 ms	streaming took: 0.096462 ms
reading frame: 30.402937 ms	encoding took: 5.986809 ms	streaming took: 0.094464 ms
reading frame: 25.989184 ms	encoding took: 5.237527 ms	streaming took: 0.088906 ms
reading frame: 30.593808 ms	encoding took: 5.444344 ms	streaming took: 0.081689 ms
reading frame: 26.199890 ms	encoding took: 6.173276 ms	streaming took: 0.122106 ms
reading frame: 30.039335 ms	encoding took: 5.626230 ms	streaming took: 0.103352 ms
reading frame: 26.144556 ms	encoding took: 5.359538 ms	streaming took: 0.114055 ms
reading frame: 30.475660 ms	encoding took: 5.797909 ms	streaming took: 0.112658 ms
reading frame: 26.156099 ms	encoding took: 5.566762 ms	streaming took: 0.087264 ms
reading frame: 30.298822 ms	encoding took: 6.036980 ms	streaming took: 0.098033 ms
reading frame: 26.156848 ms	encoding took: 6.510214 ms	streaming took: 0.099847 ms
reading frame: 28.808648 ms	encoding took: 7.856242 ms	streaming took: 0.121714 ms
reading frame: 24.196769 ms	encoding took: 6.252310 ms	streaming took: 0.136514 ms
reading frame: 29.306099 ms	encoding took: 5.760910 ms	streaming took: 0.096759 ms
reading frame: 26.741984 ms	encoding took: 7.412614 ms	streaming took: 0.125486 ms
reading frame: 27.868358 ms	encoding took: 7.639091 ms	streaming took: 0.134740 ms
reading frame: 24.045951 ms	encoding took: 6.464605 ms	streaming took: 0.090932 ms
reading frame: 29.571997 ms	encoding took: 5.746354 ms	streaming took: 0.090299 ms
reading frame: 26.012460 ms	encoding took: 5.632376 ms	streaming took: 0.111664 ms
reading frame: 30.320506 ms	encoding took: 5.231156 ms	streaming took: 0.110227 ms
